,r,theta,x,y
198,11.0,1.7310816662637634,-1.7555988453671685,10.858999617558952
199,14.0,1.718058482431918,-2.054226642375063,13.848471139506934
200,10.0,1.7135959928671598,-1.4231483827328502,9.898214418809328
201,13.0,1.703914659574125,-1.7254318546883842,12.884986803052094
202,6.0,1.7016960206944711,-0.7831571533203083,5.948669168242863
203,9.0,1.691626813471427,-1.084830122297906,8.934379866882486
204,12.0,1.6871516102611854,-1.393114969502765,11.918860292903316
205,14.0,1.6689710972195777,-1.372239964613849,13.932586173410757
206,11.0,1.6669675304762168,-1.0562532849844994,10.94917024244118
207,8.0,1.663196110724008,-0.7381468757064151,7.965873410360277
208,5.0,1.6534698176788385,-0.41289672736166133,4.982922465033349
209,13.0,1.6506673264624339,-1.0372193721900815,12.958556091399752
210,10.0,1.6421961598310282,-0.7133918319923225,9.974521146102536
211,12.0,1.6289739685280409,-0.6977379469257092,11.979697899255218
212,7.0,1.624961717374031,-0.3789723600979224,6.989733896957866
213,14.0,1.6198837120072371,-0.6869474405838522,13.983136386872413
214,9.0,1.6110731556870732,-0.36239346098473413,8.992700983544127
215,11.0,1.60285339468867,-0.35256735328820726,10.994348378207567
216,13.0,1.5974199933507423,-0.346066778691071,12.995392944604884
217,14.0,1.5707963267948966,8.572527594031472e-16,14.0
218,12.0,1.5707963267948966,7.347880794884119e-16,12.0
219,10.0,1.5707963267948966,6.123233995736766e-16,10.0
220,8.0,1.5707963267948966,4.898587196589413e-16,8.0
221,6.0,1.5707963267948966,3.6739403974420594e-16,6.0
222,4.0,1.5707963267948966,2.4492935982947064e-16,4.0
223,13.0,1.5441726602390509,0.3460667786910726,12.995392944604884
224,11.0,1.538739258901123,0.35256735328820865,10.994348378207567
225,9.0,1.5305194979027197,0.3623934609847372,8.992700983544125
226,14.0,1.521708941582556,0.6869474405838538,13.983136386872413
227,7.0,1.5166309362157622,0.3789723600979233,6.989733896957866
228,12.0,1.5126186850617522,0.6977379469257108,11.979697899255218
229,10.0,1.499396493758765,0.7133918319923236,9.974521146102536
230,13.0,1.4909253271273595,1.0372193721900804,12.958556091399752
231,5.0,1.4881228359109546,0.41289672736166194,4.982922465033349
232,8.0,1.478396542865785,0.7381468757064161,7.965873410360276
233,11.0,1.4746251231135765,1.0562532849844983,10.94917024244118
234,14.0,1.4726215563702154,1.3722399646138508,13.932586173410755
235,12.0,1.454441043328608,1.3931149695027636,11.918860292903316
236,9.0,1.4499658401183662,1.084830122297907,8.934379866882486
237,6.0,1.4398966328953218,0.7831571533203103,5.948669168242862
238,13.0,1.437677994015668,1.7254318546883856,12.884986803052094
239,10.0,1.427996660722633,1.4231483827328533,9.898214418809326
